ContexteGauche;Pivot;ContexteDroit
qu’une fille, on peut se laisser|aller|. Enfin, le peu que nous possédons sera tout à elle
et se promenaient, Véronique passa, pour|aller|dans la campagne, devant l’étalage d’un libraire où elle
à dîner. Enfin il était forcé d’|aller|chez ses anciens patrons qui passaient les hivers à Limoges. Il
pour rendre ses visites de mariage, pour|aller|à ces dîners et à ces bals, nommés retours de noces
vient à mon aide, je me sens|aller|dans un gouffre où toutes les idées s’émoussent, où le
démontrant par la pratique que sa maison devait|aller|splendidement avec mille écus. Puis il composa, de clerc à
dans l’île Saint-Louis, où je dus|aller|dîner les jeudis et les dimanches, conduit par madame ou par
n’était -ce pas à moi d’y|aller|? N’avais -je pas une mère ? ne pensait -elle pas
. Je ne demandais pas mieux que d’|aller|, venir, courir à travers champs. Avec ce courage d’
imaginent tout d’abord l’idéal. Pour|aller|au château de Frapesle, les gens à pied ou à cheval
au-dessus, ondulent avec elle, se laissent|aller|à ses caprices et se plient aux tempêtes de la rivière fouettée
les avantages de ma position en me laissant|aller|au charme d’entendre la voix de la comtesse. Le souffle
pour monter à cheval ou le dimanche pour|aller|à la messe. Sa chaussure était grossière. Quoique les dix
, je descendis dans la prairie afin d’|aller|revoir l’Indre et ses îles, la vallée et ses coteaux
des rochers. Nous allongeâmes le pas pour|aller|saluer madame de Mortsauf, qui laissa tomber tout à coup le
élevèrent en lui pour lui faire oublier d’|aller|savoir comment se trouvait Jacques ! Il se leva brusquement et vint
elle ne me pria point de m’en|aller|, peut-être crut -elle que la partie de trictrac égaierait le comte
prévoyais une complète initiation. — Avant d’|aller|plus loin, lui dis -je d’une voix altérée par des
parfois vraiment chevaleresque. Il est capable d’|aller|secrètement à franc étrier me chercher à Paris une parure comme il
"nos fumiers ; je ne puis, ni"|aller|voir si nos métiviers ne s’entendent pas avec eux lors du
, mon ami, dit -elle, d’|aller|du premier bond au bout de la carrière ? Vous avez épuisé
voulez -vous dire ? fit -elle en laissant|aller|les deux couples qui nous précédaient et gardant ses enfants près d’
Le comte était parti dès six heures pour|aller|faire dresser ses contrats d’acquisition à Tours. Un grave sujet
menant contre son gré là où elle voulait|aller|"; ne se souvenant plus de nous avoir conduits, il se"
. La parole, si libre pendant l’|aller|, avait au retour de mystérieuses significations, quand l’un de
table. Jacques me fit jurer de n’|aller|voir vendanger nulle part, et de me réserver pour le clos
, à remplir mon panier, à l’|aller|vider dans le tonneau de vendange avec une application corporelle, silencieuse
, d’autres améliorations lui permettraient peut-être d’|aller|un jour a Paris pour y veiller l’éducation de Jacques,
traversant les espaces que j’ai franchis pour|aller|demander à Dieu de te laisser encore à moi, l’on
avais pas d’enfants, je me laisserais|aller|"au courant de cette vie ; mais, sans mon courage inconnu"
Parisienne, et nous partîmes en troupe pour|aller|à Frapesle y faire une visite que la comtesse ne devait pas
