Référence	ContexteGauche	Pivot	ContexteDroit
TXM_etude_des_moeurs	de sept heures du soir jusqu’à cinq	heures du matin	, mais encore il avait habitué sa femme et Jean à respecter
TXM_etude_des_moeurs	de son mari était menacée. Vers cinq	heures du matin	, les premiers levés dans la campagne avaient vu passer la gendarmerie
TXM_etude_des_moeurs	de la première métairie. Il était dix	heures du matin	, le mois d’août était chaud, le ciel était sans
TXM_etude_des_moeurs	à demain. Le lendemain, à cinq	heures du matin	, au petit jour, Bonnébault et sa mère frappaient à la
TXM_etude_des_moeurs	de commencer son rôle d’ange dès onze	heures du matin	. Madame de Maufrigneuse était à demi pensive : mêmes inquiétudes la
TXM_etude_des_moeurs	Paris, le notaire se trouvait à neuf	heures du matin	chez les Keller, il y apprit que le fatal mandat était
TXM_etude_des_moeurs	, dans une fatale nuit, à trois	heures du matin	, jouant chez la duchesse de Luynes, interrompit le jeu,
TXM_etude_des_moeurs	alla sur-le-champ chez sa pénitente. A onze	heures du matin	, du Croisier reçut un mandat de comparution qui le mandait,
TXM_etude_des_moeurs	de bonheur, et resta. Vers trois	heures du matin	, les cent cinquante mille francs étaient rentrés dans la caisse des
TXM_etude_des_moeurs	. Obligée d'être au bureau dès dix	heures du matin	, la pauvre Agathe eut à peine le temps de dîner.
TXM_etude_des_moeurs	qui avait déjeuné à Vierzon, à six	heures du matin	, d'une exécrable tasse de café. Quand Joseph eut avalé
TXM_etude_des_moeurs	aller à Bourges et en revenir de cinq	heures du matin	à cinq heures du soir, avec son cheval, et Flore
TXM_etude_des_moeurs	mémorable expédition ne fut terminée qu'à trois	heures du matin	, heure à laquelle ces mauvais drôles allèrent souper chez la Cognette
TXM_etude_des_moeurs	reconnu Fario ; mais quand, à cinq	heures du matin	, il eut bien repris ses sens, qu'il se vit
TXM_etude_des_moeurs	la place Saint-Jean, à deux ou trois	heures du matin	, gris comme des bouchons de vin de Champagne, et en
TXM_etude_des_moeurs	de l'église des Capucins, à huit	heures du matin	. Goddet, qui faisait partie du banquet en sa qualité d'
TXM_etude_des_moeurs	en le mettant au tombeau. Dès neuf	heures du matin	, monsieur Martener alla chez le Président, auquel il raconta la
TXM_etude_des_moeurs	de Nègrepelisse, viendra vous chercher à quatre	heures du matin	. Faisons chacun nos dispositions, car l'affaire ne peut s'
TXM_etude_des_moeurs	. Monsieur de Nègrepelisse était venu dès trois	heures du matin	pour assister monsieur de Bargeton ; il a dit à monsieur de
