Occ	Fréq	CoFréq	Indice	DistMoy
heures	1912	286	286.163	2.2027972
lendemain	772	111	109.686	0.963964
du	23024	452	93.6383	1.8871682
ce	16811	341	74.1935	1.398827
demain	556	62	54.7443	0.9032258
soir	1322	80	49.8029	3.4875
dès	583	48	36.3692	1.8125
le	69752	722	35.8742	3.067867
heure	1215	58	30.9325	2.1724138
Le	7180	142	30.3715	2.0704226
huit	605	38	24.7364	2.9736843
sept	532	35	23.5153	2.7714286
déjeuner	426	32	23.3247	3.59375
neuf	443	32	22.8053	3.6875
Vers	172	22	21.3265	2.7727273
demie	208	23	20.7885	4.2173915
vers	1459	47	18.3233	3.3404255
chez	5029	90	16.9526	3.8777778
,	284243	2123	15.6802	3.8087611
cinq	1206	39	15.4109	2.128205
jusqu'	861	32	14.4276	3.59375
Un	1457	41	14.1438	1.097561
Demain	67	12	13.7905	0.25
minuit	168	15	12.4453	4.866667
à	67391	577	12.4452	4.6516466
six	1056	32	12.0564	3.5625
lever	170	13	10.0325	3.6153846
allé	261	15	9.7107	3.1333334
deux	8252	102	9.4155	3.6764705
toilette	504	19	8.99	2.4210527
au	15951	165	8.8381	3.0969696
messe	184	12	8.5239	3.9166667
midi	208	12	7.9263	5.5
depuis	1928	36	7.7459	3.0277777
rentré	52	7	7.3981	5.0
bal	392	15	7.3336	5.133333
venu	597	18	7.0872	3.1111112
partit	164	10	6.9386	3.2
levait	62	7	6.8565	2.142857
après	3491	50	6.7852	3.42
trois	2804	43	6.7084	2.9302325
venir	991	22	6.2108	4.0454545
allait	1078	23	6.1675	4.0869565
dimanche	155	9	6.1291	1.3333334
lundi	51	6	6.0642	1.5
dix	1193	24	5.9607	3.2083333
expliquera	30	5	5.9151	3.4
alla	829	19	5.6582	4.2105265
sommeil	189	9	5.4179	4.4444447
avant	1378	25	5.3959	4.12
Dès	243	10	5.3851	2.4
jour	2369	35	5.2583	4.457143
dormait	71	6	5.2103	4.5
nuit	820	18	5.1443	5.611111
A	1734	28	5.0222	3.607143
vint	850	18	4.9368	3.8333333
prières	121	7	4.8879	3.4285715
vu	1216	22	4.8152	3.3181818
levant	227	9	4.7799	2.5555556
même	2826	38	4.7446	1.5789474
grand	2309	33	4.7168	1.0909091
très-grand	9	3	4.6952	0.0
voir	3184	41	4.6385	3.512195
coucha	54	5	4.6232	5.6
jusqu’	816	17	4.6117	3.2941177
mardi	30	4	4.4285	1.75
réveillée	30	4	4.4285	2.0
National	11	3	4.4061	3.0
hydropisie	2	2	4.4048	1.0
petit-lever	2	2	4.4048	3.0
réciteras	2	2	4.4048	0.0
Soir	2	2	4.4048	0.5
souliers-chaussons	2	2	4.4048	3.0
très-concis	2	2	4.4048	2.0
troussée	2	2	4.4048	4.0
revenait	144	7	4.4008	3.2857144
jours	2191	31	4.3946	5.322581
dormi	31	4	4.3707	4.5
environ	459	12	4.3489	5.6666665
levé	64	5	4.2636	1.0
éveilla	34	4	4.2087	2.75
Ce	2892	37	4.2	1.7837838
onze	270	9	4.1947	2.4444444
quatre	1272	21	4.07	3.3809524
jeudi	15	3	3.9738	0.0
hier	360	10	3.9375	2.4
Agneau	3	2	3.9295	3.5
ambigu	3	2	3.9295	1.0
infirmerie	3	2	3.9295	2.0
râteaux	3	2	3.9295	3.0
venue	231	8	3.9065	2.375
dîner	939	17	3.8763	4.5882354
causerons	42	4	3.8434	2.75
Cérizet	310	9	3.7437	3.8888888
fondre	45	4	3.7257	4.0
Bibliothèque	4	2	3.6303	2.0
chasserons	4	2	3.6303	0.5
craquant	4	2	3.6303	1.5
grondera	4	2	3.6303	2.0
lesté	4	2	3.6303	4.5
mangeais	4	2	3.6303	2.5
occupes	4	2	3.6303	2.5
pascal	4	2	3.6303	3.0
clarinette	20	3	3.5851	5.0
Champs-Élysées	51	4	3.5141	5.75
sortit	409	10	3.4958	4.2
chaque	829	15	3.4923	2.1333334
remis	144	6	3.4881	2.3333333
allée	271	8	3.439	3.25
décembre	54	4	3.4183	3.5
bossus	5	2	3.4103	4.5
comparution	5	2	3.4103	3.5
—Demain	5	2	3.4103	3.0
dormais	5	2	3.4103	3.0
Martroi	5	2	3.4103	4.0
noirceurs	5	2	3.4103	4.0
réveillai	5	2	3.4103	1.0
satisferez	5	2	3.4103	1.0
transposition	5	2	3.4103	3.0
aller	1746	24	3.3798	5.0
provisions	56	4	3.3577	1.5
soirée	436	10	3.2807	5.0
me	9680	88	3.2458	4.568182
revenant	160	6	3.2457	2.5
chargez	6	2	3.236	3.0
ciselés	6	2	3.236	4.0
Flamet	6	2	3.236	3.0
Poupard	6	2	3.236	1.5
samedis	6	2	3.236	1.5
Antoine	61	4	3.2159	5.0
café	301	8	3.1409	4.125
allant	302	8	3.1316	3.25
lueurs	65	4	3.1115	2.0
départ	234	7	3.1112	3.142857
combinée	7	2	3.0917	4.0
Fouarre	7	2	3.0917	4.5
promenée	7	2	3.0917	0.5
promener	174	6	3.056	4.5
marché	243	7	3.016	2.2857144
enverrai	32	3	2.9709	1.3333334
contrôler	8	2	2.9686	2.5
Luynes	8	2	2.9686	3.0
médailles	8	2	2.9686	4.5
pleurais	8	2	2.9686	0.5
travailler	182	6	2.9555	3.5
rentrèrent	33	3	2.9315	5.6666665
quittait	73	4	2.9225	2.5
promenant	74	4	2.9006	2.75
fin	669	12	2.8827	5.4166665
aboyeur	9	2	2.8612	2.0
--Mets	9	2	2.8612	3.5
rentrés	9	2	2.8612	4.5
frappait	35	3	2.8565	3.6666667
mutuellement	35	3	2.8565	5.3333335
hiver	261	7	2.8382	3.7142856
pendant	2602	30	2.8335	4.4
réveille	36	3	2.8208	1.6666666
mai	78	4	2.8159	3.5
occupé	194	6	2.8143	3.0
nuits	132	5	2.808	5.8
brochette	10	2	2.7661	2.0
éveillant	10	2	2.7661	1.5
maudissait	10	2	2.7661	4.0
