Référence	ContexteGauche	Pivot	ContexteDroit
TXM_etude_des_moeurs	au sans dot d’Harpagon que pratiquait son	père	, sans avoir jamais lu Molière. Sauviat ne s’effraya point
TXM_etude_des_moeurs	. Quand Véronique essaya de marcher, le	père	se pliait sur ses jambes et se mettait à quatre pas d’
TXM_etude_des_moeurs	, et après sa première communion, son	père	et sa mère lui donnèrent pour habitation les deux chambres situées au
TXM_etude_des_moeurs	vêtements les étoffes qu’elle désirait. Le	père	et la mère furent heureux de la modestie de leur fille,
TXM_etude_des_moeurs	dimanche, elle allait aux offices avec son	père	et sa mère, à la promenade après vêpres le long de
TXM_etude_des_moeurs	elle -même une cuisine à part. Le	père	et la mère mangeaient toujours leurs noix et leur pain dur,
TXM_etude_des_moeurs	Véronique doit vous coûter cher, disait au	père	Sauviat un chapelier établi en face et qui avait pour son fils
TXM_etude_des_moeurs	Le peu ? Vous devez être riche,	père	Sauviat. Voilà quarante ans que vous faites un commerce où il
TXM_etude_des_moeurs	petite fille à l’admiration publique, le	père	Sauviat redoubla d’activité. Son commerce se raviva si bien,
TXM_etude_des_moeurs	les mœurs intérieures de la maison. Le	père	et la mère montèrent à la nuit chez leur fille, qui
TXM_etude_des_moeurs	Elle avait une taille moyenne, ni son	père	ni sa mère n’étaient grands ; mais ses formes se recommandaient
TXM_etude_des_moeurs	une des causes de l’admiration que son	père	et sa mère manifestèrent pour sa beauté, qu’ils disaient être
TXM_etude_des_moeurs	acheter à cause de la gravure, son	père	paya cent sous le fatal volume, et le mit dans la
TXM_etude_des_moeurs	les soirées chaudes le bras de son vieux	père	, et ne manqua plus une promenade au bord de la Vienne
TXM_etude_des_moeurs	. — Comme il vous plaira, mon	père	, répondit -elle en baissant les yeux. — Nous la marierons
TXM_etude_des_moeurs	L’une et l’autre comprirent que le	père	allait chercher un gendre. Le vieux Sauviat se rendit chez monsieur
TXM_etude_des_moeurs	auvergnat était un modèle que plus d’un	père	proposait à son enfant, une épigramme que plus d’une femme
TXM_etude_des_moeurs	Après sa conférence avec le banquier, le	père	Sauviat revint joyeux dîner dans la chambre de sa fille, et
TXM_etude_des_moeurs	religieuses, son affection sans bornes pour son	père	et sa mère, son ignorance empêchèrent Véronique de concevoir une seule
TXM_etude_des_moeurs	long des murs jusqu’à la maison du	père	Sauviat. Il frappait doucement aux volets, le chien n’aboyait
TXM_etude_des_moeurs	composait de presque toute la fortune de son	père	, sept cent cinquante mille francs. Le vieillard gardait une inscription
TXM_etude_des_moeurs	où elle était dans le bouge de son	père	, moins l’espérance, moins les joies enfantines de l’ignorance
TXM_etude_des_moeurs	homme, il était le privilégié de mon	père	, l’amour de ma mère, l’espoir de ma famille
TXM_etude_des_moeurs	soir par le valet de chambre de mon	père	. Je partais en emportant un panier peu fourni, tandis que
