Occ	Fréq	CoFréq	Indice	DistMoy
ce	16811	504	164.6476	0.78571427
heures	1912	176	134.9421	2.3806818
matin	1252	80	49.8105	3.4875
le	69752	808	48.5267	2.684406
hier	360	43	38.5671	0.8372093
chez	5029	122	31.9154	3.5655737
Un	1457	58	25.7155	0.4827586
Le	7180	137	25.6402	1.3065693
du	23024	292	23.358	2.589041
,	284243	2316	23.0438	3.7685666
demain	556	35	22.1191	1.8571428
au	15951	216	20.6311	3.2592592
journée	387	29	20.5432	4.965517
neuf	443	27	16.9093	2.7037036
samedi	44	12	15.901	0.0
onze	270	21	15.4278	2.2380953
demie	208	18	14.1396	2.0
sept	532	26	14.0444	2.5
jusqu'	861	32	13.7793	2.6875
dîner	939	32	12.7699	3.6875
huit	605	26	12.7614	3.1153846
après	3491	64	11.7469	3.34375
vers	1459	38	11.4623	2.6052632
même	2826	55	11.1698	1.2545455
je	18973	204	10.1178	4.4313726
vous	22824	233	9.4398	4.6309013
Opéra	234	14	9.0315	4.357143
dix	1193	30	8.8729	3.0
minuit	168	12	8.7058	3.0
bal	392	17	8.669	4.2352943
lendemain	772	23	8.3076	1.6086956
Hier	58	8	8.2718	1.625
.	130450	1034	8.1393	4.06383
coucher	375	16	8.1025	4.6875
journal	519	18	7.6376	3.3333333
nous	9363	109	7.3925	4.4862385
A	1734	34	7.2942	2.764706
six	1056	25	7.0303	3.88
venaient	194	11	7.0047	4.6363635
venir	991	24	6.9562	3.9166667
prières	121	9	6.8418	2.8888888
oreiller	37	6	6.7798	3.1666667
quatre	1272	27	6.5998	3.0370371
Antiques	41	6	6.5032	3.3333333
Carabine	78	7	6.0049	1.8571428
Cabinet	50	6	5.9771	2.3333333
vint	850	20	5.7303	4.0
Vers	172	9	5.5587	2.2222223
partirait	5	3	5.5391	1.6666666
couchant	62	6	5.4191	2.0
Ce	2892	42	5.3874	1.1666666
Demain	67	6	5.221	1.3333334
dimanche	155	8	4.9642	2.375
irons	79	6	4.8056	2.6666667
retrouvaient	8	3	4.7974	3.6666667
À	600	15	4.7672	2.6
cinq	1206	22	4.5115	2.7272727
endormir	28	4	4.4571	2.75
_copie_	2	2	4.3565	4.0
baillant	2	2	4.3565	2.5
bénirez	2	2	4.3565	0.5
contremarques	2	2	4.3565	0.5
emménage-t	2	2	4.3565	1.0
pliera	2	2	4.3565	1.5
réciteras	2	2	4.3565	1.0
très-circonspectes	2	2	4.3565	2.5
troussée	2	2	4.3565	3.0
aurons	141	7	4.308	3.857143
irai	193	8	4.2828	2.625
irez	61	5	4.251	3.2
revenait	144	7	4.2501	5.0
-là	1444	24	4.229	0.5
viendrai	32	4	4.2217	3.25
couché	101	6	4.2006	4.5
m'	2840	38	4.2002	4.9210525
rentrant	102	6	4.1767	2.3333333
vieillard	1016	19	4.1261	4.894737
ai	6452	70	4.1071	5.1571426
heure	1215	21	4.0134	5.4761906
souper	113	6	3.9303	1.1666666
étudierons	3	2	3.8813	0.5
nécrologique	3	2	3.8813	1.5
Tréville	3	2	3.8813	4.0
partirai	16	3	3.8146	0.6666667
Italiens	120	6	3.7873	1.1666666
causerons	42	4	3.7515	1.5
toilette	504	12	3.7467	4.0833335
dit	18245	162	3.6876	4.5061727
allant	302	9	3.651	2.8888888
Puis	846	16	3.6302	2.875
Cécile-Amélie	4	2	3.5822	2.5
chasserons	4	2	3.5822	2.0
conterai	4	2	3.5822	2.0
coucherez	4	2	3.5822	0.5
HECTOR	4	2	3.5822	1.5
quand	3842	45	3.5485	3.3777778
catastrophe	87	5	3.5197	4.8
entendrons	20	3	3.5145	2.3333333
fiacre	136	6	3.4935	3.5
lundi	51	4	3.4233	2.75
marquise	798	15	3.415	4.266667
Aie	5	2	3.3622	1.0
Devoir	5	2	3.3622	4.5
Dulcinée	5	2	3.3622	4.0
entortilla	5	2	3.3622	3.0
fortuitement	5	2	3.3622	2.0
parleras	5	2	3.3622	3.0
receveurs	5	2	3.3622	1.5
reprenaient	5	2	3.3622	0.5
soupant	5	2	3.3622	0.5
traversai	5	2	3.3622	4.5
Vendredi	5	2	3.3622	0.0
