Occ	Fréq	CoFréq	Indice	DistMoy
chez	5029	122	46.6293	2.9016395
le	69752	565	34.0734	3.00177
après	3491	81	30.014	2.2098765
heure	1215	48	27.756	3.1875
Cancale	38	15	24.8514	4.4
Après	1031	41	23.9501	1.4634147
Rocher	43	15	23.8699	3.1333334
inviter	44	14	21.66	2.5
à	67391	495	21.3067	3.5313132
déjeuner	426	25	18.8766	3.2
dîner	939	32	16.9661	5.0625
avant	1378	36	15.3893	2.25
invité	52	11	14.959	2.4545455
invita	24	9	14.9086	4.0
venir	991	30	14.6069	1.3
pendant	2602	46	13.1836	3.0869565
soir	1322	32	12.8901	3.59375
heures	1912	37	11.8845	4.243243
nous	9363	96	11.4378	3.9583333
demain	556	19	10.4218	1.1052631
invités	27	7	10.4184	3.4285715
servi	219	13	10.2425	2.9230769
avec	11756	107	9.6992	2.5607476
Le	7180	75	9.4699	2.6533334
viendrez	40	7	9.1192	1.8571428
au	15951	130	8.6402	3.5923078
soirée	436	15	8.4216	4.8
invitait	15	5	8.2045	3.4
restaurateur	16	5	8.0434	2.0
invitation	88	8	7.9999	1.75
invite	17	5	7.8938	1.0
digérait	7	4	7.7929	2.5
donnait	600	16	7.3935	2.6875
tous	4681	51	7.2477	3.509804
aller	1746	27	6.9161	2.6666667
vendredi	26	5	6.8824	2.0
annonça	84	7	6.8112	1.4285715
pour	24185	170	6.6718	3.1588235
Lucien	2147	30	6.6684	4.1
convives	131	8	6.6468	4.125
splendide	55	6	6.6208	0.8333333
jours	2191	30	6.4871	4.633333
Palais-Royal	58	6	6.481	2.0
Véry	14	4	6.3478	2.5
attendant	196	9	6.3469	1.3333334
déjeûner	15	4	6.2147	1.25
descendit	204	9	6.2017	3.2222223
dimanche	155	8	6.0902	1.75
amis	1051	19	6.044	3.8947368
Beaune	5	3	6.0021	3.6666667
allâmes	17	4	5.9765	1.75
reviendra	39	5	5.9621	2.6
Pons	595	14	5.9169	5.142857
allait	1078	19	5.8839	2.5789473
ville	1088	19	5.826	2.9473684
jour	2369	30	5.8056	3.9333334
commandé	42	5	5.7976	1.0
coûtait	76	6	5.7795	2.1666667
Ragon	120	7	5.7561	6.142857
gourmet	6	3	5.7026	2.6666667
Margueron	20	4	5.6727	0.5
allons	314	10	5.5396	2.5
Pendant	555	13	5.5209	1.6923077
très-tard	7	3	5.461	3.3333333
vendredis	7	3	5.461	2.0
dimanches	49	5	5.4588	2.6
passa	321	10	5.4551	3.8
lundi	51	5	5.3716	1.6
restaurant	26	4	5.193	3.5
Quand	1672	23	5.1757	4.304348
vidame	97	6	5.1605	4.0
coûta	27	4	5.125	1.25
dépensait	30	4	4.9362	2.0
emmena	111	6	4.8244	2.6666667
mercredis	11	3	4.7937	2.0
ensemble	478	11	4.7004	2.8181818
promener	174	7	4.6967	5.0
Cruchot	118	6	4.6735	3.5
apparat	12	3	4.6703	0.6666667
avancerez	2	2	4.666	1.5
estampait	2	2	4.666	2.0
gargotte	2	2	4.666	3.0
inviterons	2	2	4.666	3.5
Machillot	2	2	4.666	1.0
revint	484	11	4.6511	4.0
,	284243	1464	4.5666	4.1905737
partirons	13	3	4.5578	1.6666666
meilleur	184	7	4.5414	1.5714285
fut	5011	45	4.4034	2.911111
indigestion	15	3	4.3592	2.3333333
monsieur	7721	62	4.3562	5.0
bon	1640	21	4.3431	2.4761906
conclusion	43	4	4.3036	5.25
donner	1527	20	4.3001	3.5
proposant	16	3	4.2705	3.3333333
Jacquotte	44	4	4.2638	4.5
Venez	86	5	4.2591	2.6
vint	850	14	4.2011	2.7142856
revenait	144	6	4.1889	2.3333333
prochain	89	5	4.1879	2.0
auquel	551	11	4.1476	3.4545455
bouteilles	91	5	4.1418	3.6
fini	458	10	4.1409	0.7
madame	6892	56	4.1338	4.75
retardé	18	3	4.1101	1.6666666
plaisir	986	15	4.0734	1.9333333
fin	669	12	4.0295	2.9166667
allant	302	8	3.9945	2.125
offrit	157	6	3.9821	3.8333333
dîne	53	4	3.9444	4.25
matin	1252	17	3.9357	4.5882354
habiller	101	5	3.9272	4.6
.	130450	697	3.9163	4.2223816
dessert	102	5	3.907	3.2
Chevet	21	3	3.9024	2.6666667
retournait	21	3	3.9024	3.3333333
Cincinnatus	4	2	3.8905	3.0
plantureux	4	2	3.8905	1.0
Rocher-de-Cancale	4	2	3.8905	0.5
tambouriné	4	2	3.8905	2.0
Opéra	234	7	3.887	5.571429
Schmucke	499	10	3.8389	4.3
durée	57	4	3.8208	2.5
pria	108	5	3.7905	4.0
repas	108	5	3.7905	2.2
club	23	3	3.7811	2.0
coule	23	3	3.7811	3.6666667
alla	829	13	3.7398	1.9230769
présentation	24	3	3.7246	3.0
mangeait	61	4	3.7063	3.0
vin	423	9	3.7034	4.888889
fromage	25	3	3.6706	4.3333335
consistaient	5	2	3.67	3.0
entamait	5	2	3.67	0.5
priés	5	2	3.67	1.0
manger	432	9	3.6364	4.111111
où	9585	70	3.6223	4.3428574
Thuillier	434	9	3.6217	4.111111
venez	265	7	3.558	3.4285715
soirs	124	5	3.5118	4.2
commander	69	4	3.4999	1.25
coadjuteur	6	2	3.4953	1.0
digérant	6	2	3.4953	0.5
Grenétat	6	2	3.4953	3.5
taillait	6	2	3.4953	1.0
Tournon	6	2	3.4953	3.0
cérémonie	70	4	3.4759	3.25
payait	71	4	3.4524	2.5
régulièrement	30	3	3.4313	2.3333333
offert	73	4	3.4063	0.25
matières	31	3	3.3886	3.0
quatre	1272	16	3.3811	4.625
coucher	375	8	3.3629	4.125
Cadran-Bleu	7	2	3.3505	1.0
frugalité	7	2	3.3505	3.0
improvisé	7	2	3.3505	1.0
refroidit	7	2	3.3505	0.5
déterminer	32	3	3.3474	2.0
demi-heure	76	4	3.3396	3.5
du	23024	143	3.3209	3.7272727
irons	79	4	3.2758	5.75
bal	392	8	3.2373	4.0
donna	491	9	3.2365	1.6666666
Presles	81	4	3.2348	5.0
candidature	35	3	3.2315	4.0
mercredi	35	3	3.2315	4.6666665
somptueux	35	3	3.2315	4.6666665
Albertine	8	2	3.2269	2.0
collectif	8	2	3.2269	3.5
payeras	8	2	3.2269	3.5
prier	146	5	3.1882	4.2
Arthez	224	6	3.1575	4.0
signer	86	4	3.1368	5.75
après-demain	38	3	3.1257	2.0
apprêter	9	2	3.1191	0.5
émérite	9	2	3.1191	3.0
jeudis	9	2	3.1191	0.5
mutuelles	9	2	3.1191	2.0
servirai	9	2	3.1191	1.5
dînait	87	4	3.1179	3.5
arrivait	153	5	3.0967	3.6
Lupeaulx	519	9	3.0677	3.8888888
semaine	234	6	3.0594	4.5
bras	1109	14	3.0496	5.285714
lundis	10	2	3.0236	1.5
attends	93	4	3.0096	3.25
personnes	767	11	2.9459	1.9090909
menait	97	4	2.9417	4.0
quarante-cinq	44	3	2.9389	3.0
apprête	11	2	2.9377	0.5
étonnements	11	2	2.9377	2.5
lâchait	11	2	2.9377	3.5
Maison-Vauquer	11	2	2.9377	3.0
Descoings	167	5	2.9273	3.4
POIRET	98	4	2.9252	3.75
reconduisit	45	3	2.9104	5.3333335
terminé	45	3	2.9104	0.6666667
honneur	903	12	2.8809	2.4166667
accommoder	12	2	2.8599	4.0
enfonce	12	2	2.8599	3.5
inamovible	12	2	2.8599	1.0
inattendue	12	2	2.8599	4.0
cloche	47	3	2.8555	1.3333334
cuisinière	175	5	2.8377	6.2
Théodore	49	3	2.803	2.3333333
Jérôme-Nicolas	13	2	2.7887	0.5
réformer	13	2	2.7887	4.0
hier	360	7	2.7817	2.4285715
moi	4679	37	2.7648	3.1891892
donne	812	11	2.7527	1.8181819
décent	14	2	2.7231	2.5
effarouché	14	2	2.7231	3.5
invitant	14	2	2.7231	0.5
remuée	14	2	2.7231	3.5
rieur	14	2	2.7231	2.5
très-agréable	14	2	2.7231	1.5
viendras	14	2	2.7231	1.5
cinq	1206	14	2.7143	2.9285715
notre	2054	20	2.6986	4.2
allèrent	113	4	2.698	4.75
Théodose	189	5	2.6918	3.4
—Calyste	15	2	2.6623	0.5
courbure	15	2	2.6623	1.0
devions	15	2	2.6623	4.5
garnissait	15	2	2.6623	4.0
jeudi	15	2	2.6623	0.5
Schontz	117	4	2.6431	4.25
exquis	56	3	2.6361	2.3333333
ministériel	56	3	2.6361	0.0
osé	56	3	2.6361	5.6666665
ici	1649	17	2.6277	1.7058823
excellent	119	4	2.6165	1.0
courses	57	3	2.6141	3.0
Pillerault	197	5	2.614	5.0
appétits	16	2	2.6056	4.5
accepter	199	5	2.5951	3.4
reviens	58	3	2.5925	1.3333334
rue	1812	18	2.5779	4.888889
jusqu'	861	11	2.559	4.2727275
cuisine	295	6	2.5531	5.8333335
-y	124	4	2.552	4.25
Lousteau	622	9	2.537	5.0
soirées	126	4	2.527	2.75
cabaret	62	3	2.5101	3.6666667
demeuraient	18	2	2.5028	1.0
séparent	18	2	2.5028	2.0
mets	131	4	2.4665	1.75
Ministères	19	2	2.4558	3.0
Coralie	311	6	2.4412	2.1666667
remonta	66	3	2.4333	1.6666666
lendemain	772	10	2.4177	3.9
Moulineaux	20	2	2.4114	4.0
Mignon	221	5	2.4014	2.6
Daniel	68	3	2.3968	4.6666665
plats	68	3	2.3968	2.6666667
estomac	69	3	2.379	4.0
frotta	21	2	2.3693	3.5
gratifications	21	2	2.3693	1.5
Pamiers	21	2	2.3693	2.5
par-devant	21	2	2.3693	0.5
parie	21	2	2.3693	0.5
songeur	21	2	2.3693	1.5
connaissance	225	5	2.3686	5.6
Bureau	141	4	2.3531	3.25
Bette	142	4	2.3423	1.75
Borniche	22	2	2.3292	1.5
faciliter	22	2	2.3292	2.0
surnuméraires	22	2	2.3292	2.0
assister	74	3	2.294	0.6666667
dîners	74	3	2.294	3.3333333
pupille	74	3	2.294	5.0
étendit	23	2	2.2911	2.5
prierai	23	2	2.2911	1.0
remarquée	23	2	2.2911	4.0
spéculateurs	23	2	2.2911	2.0
son	20424	121	2.2734	3.479339
serons	149	4	2.2689	1.75
gaieté	150	4	2.2587	3.0
célibataire	24	2	2.2546	4.5
servis	24	2	2.2546	3.0
consoler	78	3	2.2305	2.3333333
évident	25	2	2.2197	3.0
finir	154	4	2.2189	2.75
recevaient	26	2	2.1863	0.5
trimestre	26	2	2.1863	3.5
froid	464	7	2.1827	6.0
couvert	158	4	2.1802	1.75
donné	971	11	2.178	1.4545455
venant	159	4	2.1707	2.75
préparé	82	3	2.1704	0.33333334
gai	83	3	2.1559	0.6666667
monté	83	3	2.1559	2.0
préparer	83	3	2.1559	0.6666667
aidait	27	2	2.1542	1.5
convenait	27	2	2.1542	2.5
restes	84	3	2.1416	1.0
veille	360	6	2.1393	3.5
salle	595	8	2.1306	3.375
il	35264	196	2.1243	4.321429
avant-hier	28	2	2.1234	4.0
Poiret	165	4	2.1152	4.25
rentra	167	4	2.0972	2.25
brodequins	29	2	2.0937	4.0
Gordes	29	2	2.0937	2.0
temple	29	2	2.0937	4.5
minuit	168	4	2.0883	6.0
lever	170	4	2.0707	3.5
lui	17707	105	2.0654	4.133333
mardi	30	2	2.065	2.0
sortez	30	2	2.065	0.5
espère	173	4	2.0448	4.75
va	1156	12	2.0421	3.25
baronne	617	8	2.0417	4.375
revenir	271	5	2.0365	0.4
Desplein	92	3	2.0336	0.6666667
